Latitude,Longitude,timestamp,xaxis,yaxis,zaxis,Landmark
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.222931862,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.459423542,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,3.304487705,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.435893059,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.053640366,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,2.232503653,0,2.078764915,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.961117744,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.47298193,Amartya Sen Avenue
12.9696231,79.1580137,1.00E+13,0,0,2.653640747,Amartya Sen Avenue
